journal,issn,category_publindex,year_publindex
ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA (SÃO PAULO),0102-6720,A1,Ene 2012 - Dic 2012
ACADEMIC MEDICINE,1040-2446,A1,Ene 2012 - Dic 2012
ACADEMIC PEDIATRICS,1876-2859,A1,Ene 2012 - Dic 2012
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,A1,Ene 2012 - Dic 2012
ACIMED -,1024-9435,A1,Ene 2012 - Dic 2012
ACM COMPUTING SURVEYS,0360-0300,A1,Ene 2012 - Dic 2012
ACM TRANSACTIONS ON GRAPHICS,0730-0301,A1,Ene 2012 - Dic 2012
ACS APPLIED MATERIALS &AMP; INTERFACES,1944-8244,A1,Ene 2012 - Dic 2012
ACS CHEMICAL BIOLOGY,1554-8929,A1,Ene 2012 - Dic 2012
ACS CHEMICAL NEUROSCIENCE,1948-7193,A1,Ene 2012 - Dic 2012
ACS MEDICINAL CHEMISTRY LETTERS,1948-5875,A1,Ene 2012 - Dic 2012
ACTA AMAZONICA,0044-5967,A1,Ene 2012 - Dic 2012
ACTA BIOETHICA -,1726-569X,A1,Ene 2012 - Dic 2012
ACTA BIOMATERIALIA,1742-7061,A1,Ene 2012 - Dic 2012
ACTA BIOQUÍMICA CLÍNICA LATINOAMERICANA -,1851-6114,A1,Ene 2012 - Dic 2012
ACTA BOTANICA BRASILICA,0102-3306,A1,Ene 2012 - Dic 2012
ACTA BOTÁNICA MEXICANA -,0187-7151,A1,Ene 2012 - Dic 2012
ACTA CIRURGICA BRASILEIRA,1678-2674,A1,Ene 2012 - Dic 2012
ACTA DERMATO-VENEREOLOGICA,0001-5555,A1,Ene 2012 - Dic 2012
ACTA DIABETOLOGICA,0940-5429,A1,Ene 2012 - Dic 2012
ACTA LIMNOLOGICA BRASILIENSIA (ONLINE),2179-975X,A1,Ene 2012 - Dic 2012
ACTA LITERARIA -,0717-6848,A1,Ene 2012 - Dic 2012
ACTA MATERIALIA,1359-6454,A1,Ene 2012 - Dic 2012
ACTA MATHEMATICA,0001-5962,A1,Ene 2012 - Dic 2012
ACTA MÉDICA COSTARRICENSE -,0001-6002,A1,Ene 2012 - Dic 2012
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,A1,Ene 2012 - Dic 2012
ACTA NEUROPATHOLOGICA,0001-6322,A1,Ene 2012 - Dic 2012
"ACTA ONCOLOGICA (STOCKHOLM, SWEDEN)",0284-186X,A1,Ene 2012 - Dic 2012
ACTA OPHTHALMOLOGICA,1755-375X,A1,Ene 2012 - Dic 2012
ACTA ORTOPÉDICA BRASILEIRA,1413-7852,A1,Ene 2012 - Dic 2012
ACTA PAULISTA DE ENFERMAGEM,0103-2100,A1,Ene 2012 - Dic 2012
"ACTA PHYSIOLOGICA (OXFORD, ENGLAND)",1748-1708,A1,Ene 2012 - Dic 2012
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,A1,Ene 2012 - Dic 2012
ACTA SCIENTIARUM. AGRONOMY (ONLINE),1807-8621,A1,Ene 2012 - Dic 2012
ACTA SCIENTIARUM. ANIMAL SCIENCES,1807-8672,A1,Ene 2012 - Dic 2012
ACTA TOXICOLÓGICA ARGENTINA -,1851-3743,A1,Ene 2012 - Dic 2012
ACTA TROPICA,0001-706X,A1,Ene 2012 - Dic 2012
ACTA ZOOLOGICA MEXICANA-NUEVA SERIE,0065-1737,A1,Ene 2012 - Dic 2012
ADDICTION,0965-2140,A1,Ene 2012 - Dic 2012
ADDICTION BIOLOGY,1355-6215,A1,Ene 2012 - Dic 2012
ADVANCED SYNTHESIS & CATALYSIS,1615-4150,A1,Ene 2012 - Dic 2012
ADVANCES IN AGRONOMY,0065-2113,A1,Ene 2012 - Dic 2012
ADVANCES IN ANATOMIC PATHOLOGY,1072-4109,A1,Ene 2012 - Dic 2012
ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY,0301-5556,A1,Ene 2012 - Dic 2012
ADVANCES IN APPLIED MECHANICS.,0065-2156,A1,Ene 2012 - Dic 2012
ADVANCES IN APPLIED MICROBIOLOGY,0065-2164,A1,Ene 2012 - Dic 2012
"ADVANCES IN ATOMIC, MOLECULAR, AND OPTICAL PHYSICS",1049-250X,A1,Ene 2012 - Dic 2012
ADVANCES IN BOTANICAL RESEARCH,0065-2296,A1,Ene 2012 - Dic 2012
ADVANCES IN CANCER RESEARCH,0065-230X,A1,Ene 2012 - Dic 2012
ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY,0065-2318,A1,Ene 2012 - Dic 2012
Advances in Catalysis,0360-0564,A1,Ene 2012 - Dic 2012
ADVANCES IN CHEMICAL PHYSICS,0065-2385,A1,Ene 2012 - Dic 2012
ADVANCES IN CHRONIC KIDNEY DISEASE,1548-5595,A1,Ene 2012 - Dic 2012
ADVANCES IN CLINICAL CHEMISTRY,0065-2423,A1,Ene 2012 - Dic 2012
ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,A1,Ene 2012 - Dic 2012
ADVANCES IN ECOLOGICAL RESEARCH,0065-2504,A1,Ene 2012 - Dic 2012
ADVANCES IN GENETICS,0065-2660,A1,Ene 2012 - Dic 2012
ADVANCES IN HIGH ENERGY PHYSICS [ELECTRONIC ONLY],1687-7357,A1,Ene 2012 - Dic 2012
ADVANCES IN IMMUNOLOGY,0065-2776,A1,Ene 2012 - Dic 2012
ADVANCES IN INORGANIC CHEMISTRY,0898-8838,A1,Ene 2012 - Dic 2012
ADVANCES IN INSECT PHYSIOLOGY,0065-2806,A1,Ene 2012 - Dic 2012
ADVANCES IN MICROBIAL PHYSIOLOGY,0065-2911,A1,Ene 2012 - Dic 2012
Advances in Organometallic Chemistry,0065-3055,A1,Ene 2012 - Dic 2012
ADVANCES IN PARASITOLOGY,0065-308X,A1,Ene 2012 - Dic 2012
ADVANCES IN PHYSICS,0001-8732,A1,Ene 2012 - Dic 2012
ADVANCES IN POLYMER SCIENCE,0065-3195,A1,Ene 2012 - Dic 2012
ADVANCES IN THE STUDY OF BEHAVIOR,0065-3454,A1,Ene 2012 - Dic 2012
ADVANCES IN VIRUS RESEARCH,0065-3527,A1,Ene 2012 - Dic 2012
ADVANCES IN WATER RESOURCES,0309-1708,A1,Ene 2012 - Dic 2012
Aerosol and Air Quality Research,1680-8584,A1,Ene 2012 - Dic 2012
AEROSOL SCIENCE AND TECHNOLOGY,0278-6826,A1,Ene 2012 - Dic 2012
"AGE (DORDRECHT, NETHERLANDS)",0161-9152,A1,Ene 2012 - Dic 2012
AGE AND AGEING,0002-0729,A1,Ene 2012 - Dic 2012
AGEING RESEARCH REVIEWS,1568-1637,A1,Ene 2012 - Dic 2012
AGGRESSIVE BEHAVIOR,0096-140X,A1,Ene 2012 - Dic 2012
AGING,1945-4589,A1,Ene 2012 - Dic 2012
AGING CELL,1474-9718,A1,Ene 2012 - Dic 2012
ÁGORA: ESTUDOS EM TEORIA PSICANALÍTICA,1516-1498,A1,Ene 2012 - Dic 2012
AGRICULTURAL AND FOREST METEOROLOGY,0168-1923,A1,Ene 2012 - Dic 2012
AGRICULTURAL SYSTEMS,0308-521X,A1,Ene 2012 - Dic 2012
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,A1,Ene 2012 - Dic 2012
AGRISCIENTIA -,1668-298X,A1,Ene 2012 - Dic 2012
AGROCIENCIA,1405-3195,A1,Ene 2012 - Dic 2012
AGRONOMIA COSTARRICENSE,0377-9424,A1,Ene 2012 - Dic 2012
AGRONOMIA MESOAMERICANA,1021-7444,A1,Ene 2012 - Dic 2012
AGRONOMY FOR SUSTAINABLE DEVELOPMENT,1774-0746,A1,Ene 2012 - Dic 2012
AIDS,0269-9370,A1,Ene 2012 - Dic 2012
AIDS PATIENT CARE AND STDS,1087-2914,A1,Ene 2012 - Dic 2012
