journal,issn,category_publindex,year_publindex
AAPG BULLETIN,0149-1423,A1,Enero 2011 - Diciembre 2011
ACADEMIC EMERGENCY MEDICINE,1069-6563,A1,Enero 2011 - Diciembre 2011
ACADEMIC MEDICINE,1040-2446,A1,Enero 2011 - Diciembre 2011
ACADEMIC PEDIATRICS,1876-2859,A1,Enero 2011 - Diciembre 2011
ACADEMIC RADIOLOGY,1076-6332,A1,Enero 2011 - Diciembre 2011
ACADEMY OF MANAGEMENT ANNALS  THE,1941-6067,A1,Enero 2011 - Diciembre 2011
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,A1,Enero 2011 - Diciembre 2011
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,1537-260X,A1,Enero 2011 - Diciembre 2011
ACADEMY OF MANAGEMENT PERSPECTIVES,1558-9080,A1,Enero 2011 - Diciembre 2011
ACADEMY OF MANAGEMENT REVIEW,0363-7425,A1,Enero 2011 - Diciembre 2011
ACCIDENT ANALYSIS AND PREVENTION,0001-4575,A1,Enero 2011 - Diciembre 2011
ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,A1,Enero 2011 - Diciembre 2011
ACCOUNTING REVIEW,0001-4826,A1,Enero 2011 - Diciembre 2011
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,A1,Enero 2011 - Diciembre 2011
ACIMED,1024-9435,A1,Enero 2011 - Diciembre 2011
ACM COMPUTING SURVEYS,0360-0300,A1,Enero 2011 - Diciembre 2011
ACM TRANSACTIONS ON GRAPHICS,0730-0301,A1,Enero 2011 - Diciembre 2011
ACM TRANSACTIONS ON SENSOR NETWORKS,1550-4859,A1,Enero 2011 - Diciembre 2011
ACS APPLIED MATERIALS & INTERFACES,1944-8244,A1,Enero 2011 - Diciembre 2011
ACS CHEMICAL BIOLOGY,1554-8929,A1,Enero 2011 - Diciembre 2011
ACS NANO,1936-0851,A1,Enero 2011 - Diciembre 2011
ACTA AMAZÔNICA,0044-5967,A1,Enero 2011 - Diciembre 2011
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,A1,Enero 2011 - Diciembre 2011
ACTA ASTRONOMICA,0001-5237,A1,Enero 2011 - Diciembre 2011
ACTA BIOETHICA,1726-569X,A1,Enero 2011 - Diciembre 2011
ACTA BIOMATERIALIA,1742-7061,A1,Enero 2011 - Diciembre 2011
ACTA BIOQUÍMICA CLÍNICA LATINOAMERICANA -,1851-6114,A1,Enero 2011 - Diciembre 2011
ACTA BOTANICA BRASILICA,0102-3306,A1,Enero 2011 - Diciembre 2011
ACTA BOTÁNICA MEXICANA,0187-7151,A1,Enero 2011 - Diciembre 2011
ACTA CRYSTALLOGRAPHICA SECTION A,0108-7673,A1,Enero 2011 - Diciembre 2011
