code,research_group,research_group_name,url_to_gruplac
COL0014279,PAM,Parasitología - Agroecología Milenio,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002681
COL0041188,MAGYA,Microbiología Agrícola y ambiental,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002397
COL0090244,CINBIOS,CINBIOS,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000009022
COL0172742,BIOTECGEN,Biotecnología y Genotoxicidad Ambiental ,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000017478
COL0036606,ZOOBIOS,ZOOBIOS,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000001901
